event_id,start_utc,end_utc,duration_s,peak_db,avg_db,dominant_freq_hz,freq_spread_hz,baseline_db,band_db_at_start,peak_prominence_db,max_near_peak_bins,event_type,image_file,wav_file
92,2026-05-18T15:15:40.006743,2026-05-18T15:15:40.177410,0.171,-12.17,-16.78,1664.1,281.2,-24.8,-20.32,10.83,13,broadband_rejected,,,
93,2026-05-18T15:49:09.180406,2026-05-18T15:49:09.351072,0.171,-12.09,-16.08,1394.5,105.5,-24.88,-21.32,11.15,20,broadband_rejected,,,
94,2026-05-18T16:31:24.860821,2026-05-18T16:31:25.031488,0.171,-12.28,-17.22,1570.3,234.4,-24.83,-20.43,12.65,19,broadband_rejected,,,
95,2026-05-18T16:36:37.863539,2026-05-18T16:36:38.034206,0.171,-12.78,-16.99,1546.9,199.2,-24.85,-21.0,10.5,13,broadband_rejected,,,
96,2026-05-18T16:41:26.290253,2026-05-18T16:41:26.460920,0.171,-12.28,-16.79,1453.1,281.2,-24.8,-20.03,10.1,16,broadband_rejected,,,
97,2026-05-18T16:44:34.194284,2026-05-18T16:44:34.364951,0.171,-12.34,-16.88,1453.1,281.2,-24.77,-20.79,14.04,20,broadband_rejected,,,
98,2026-05-18T16:57:16.221076,2026-05-18T16:57:16.391742,0.171,-12.28,-16.83,1406.2,82.0,-24.82,-20.05,9.8,21,broadband_rejected,,,
99,2026-05-18T18:07:41.501768,2026-05-18T18:07:41.672435,0.171,-12.8,-17.53,1488.3,199.2,-24.89,-21.42,11.41,19,broadband_rejected,,,
100,2026-05-18T18:50:30.547523,2026-05-18T18:50:30.718189,0.171,-12.06,-16.17,1418.0,93.8,-24.79,-20.8,10.96,20,broadband_rejected,,,
101,2026-05-18T18:51:30.622199,2026-05-18T18:51:30.792866,0.171,-12.41,-17.51,1511.7,117.2,-24.81,-20.6,9.94,20,broadband_rejected,,,
1,1970-01-01T02:00:01.109333,1970-01-01T02:00:01.706667,0.597,48.16,24.86,1500.0,269.5,-24.65,34.61,131.18,19,broadband_rejected,,,
1,1970-01-01T02:00:01.024000,1970-01-01T02:00:01.706667,0.683,48.16,41.92,1500.0,0.0,-24.83,22.35,131.13,7,broadband_rejected,,,
1,1970-01-01T02:00:01.109333,1970-01-01T02:00:01.706667,0.597,48.16,44.57,1500.0,0.0,-24.8,34.61,134.49,2,meteor_candidate,,,
